Mult
 1048576	   2	    524288	     0.955 
 2097152	   2	   1048576	     1.058 
 4194304	   2	   2097152	     1.118 
 8388608	   2	   4194304	     1.148 
16777216	   2	   8388608	     1.170 
33554432	   2	  16777216	     1.182 
67108864	   2	  33554432	     1.187 
134217728	   2	  67108864	     1.405 
 1048576	   4	    262144	     1.769 
 2097152	   4	    524288	     2.176 
 4194304	   4	   1048576	     2.418 
 8388608	   4	   2097152	     2.574 
16777216	   4	   4194304	     2.296 
33554432	   4	   8388608	     2.343 
67108864	   4	  16777216	     2.366 
134217728	   4	  33554432	     2.784 
 1048576	   8	    131072	     2.575 
 2097152	   8	    262144	     3.494 
 4194304	   8	    524288	     4.217 
 8388608	   8	   1048576	     4.704 
16777216	   8	   2097152	     5.038 
33554432	   8	   4194304	     5.282 
67108864	   8	   8388608	     5.400 
134217728	   8	  16777216	     5.471 
 1048576	  32	     32768	     3.945 
 2097152	  32	     65536	     6.621 
 4194304	  32	    131072	     9.595 
 8388608	  32	    262144	    12.233 
16777216	  32	    524288	    15.186 
33554432	  32	   1048576	    17.496 
67108864	  32	   2097152	    19.043 
134217728	  32	   4194304	    19.779 
 1048576	 128	      8192	     4.457 
 2097152	 128	     16384	     8.021 
 4194304	 128	     32768	    12.989 
 8388608	 128	     65536	    19.460 
16777216	 128	    131072	    27.375 
33554432	 128	    262144	    36.053 
67108864	 128	    524288	    42.012 
134217728	 128	   1048576	    46.680 
 1048576	 256	      4096	     4.452 
 2097152	 256	      8192	     8.037 
 4194304	 256	     16384	    13.114 
 8388608	 256	     32768	    19.872 
16777216	 256	     65536	    27.030 
33554432	 256	    131072	    36.118 
67108864	 256	    262144	    42.568 
134217728	 256	    524288	    46.745 
 1048576	 512	      2048	     4.281 
 2097152	 512	      4096	     8.075 
 4194304	 512	      8192	    12.562 
 8388608	 512	     16384	    19.571 
16777216	 512	     32768	    26.833 
33554432	 512	     65536	    35.032 
67108864	 512	    131072	    42.551 
134217728	 512	    262144	    46.729 
 1048576	1024	      1024	     4.418 
 2097152	1024	      2048	     8.076 
 4194304	1024	      4096	    12.848 
 8388608	1024	      8192	    19.280 
16777216	1024	     16384	    26.982 
33554432	1024	     32768	    35.364 
67108864	1024	     65536	    42.138 
134217728	1024	    131072	    46.713 


MultAdd


 1048576	   2	    524288	     0.840 
 2097152	   2	   1048576	     0.987 
 4194304	   2	   2097152	     1.067 
 8388608	   2	   4194304	     1.122 
16777216	   2	   8388608	     1.156 
33554432	   2	  16777216	     1.176 
67108864	   2	  33554432	     1.185 
134217728	   2	  67108864	     1.251 
 1048576	   4	    262144	     1.392 
 2097152	   4	    524288	     1.829 
 4194304	   4	   1048576	     2.212 
 8388608	   4	   2097152	     2.430 
16777216	   4	   4194304	     2.573 
33554432	   4	   8388608	     2.671 
67108864	   4	  16777216	     2.717 
134217728	   4	  33554432	     2.742 
 1048576	   8	    131072	     1.874 
 2097152	   8	    262144	     2.803 
 4194304	   8	    524288	     3.602 
 8388608	   8	   1048576	     4.269 
16777216	   8	   2097152	     4.731 
33554432	   8	   4194304	     5.046 
67108864	   8	   8388608	     5.219 
134217728	   8	  16777216	     5.311 
 1048576	  32	     32768	     2.435 
 2097152	  32	     65536	     4.322 
 4194304	  32	    131072	     6.943 
 8388608	  32	    262144	     9.578 
16777216	  32	    524288	    12.469 
33554432	  32	   1048576	    15.214 
67108864	  32	   2097152	    16.849 
134217728	  32	   4194304	    17.827 
 1048576	 128	      8192	     2.583 
 2097152	 128	     16384	     4.890 
 4194304	 128	     32768	     7.933 
 8388608	 128	     65536	    12.543 
16777216	 128	    131072	    17.707 
33554432	 128	    262144	    23.331 
67108864	 128	    524288	    27.688 
134217728	 128	   1048576	    30.453 
 1048576	 256	      4096	     2.666 
 2097152	 256	      8192	     4.735 
 4194304	 256	     16384	     7.820 
 8388608	 256	     32768	    12.411 
16777216	 256	     65536	    18.044 
33554432	 256	    131072	    23.380 
67108864	 256	    262144	    27.728 
134217728	 256	    524288	    30.831 
 1048576	 512	      2048	     2.589 
 2097152	 512	      4096	     4.783 
 4194304	 512	      8192	     7.247 
 8388608	 512	     16384	    12.335 
16777216	 512	     32768	    18.035 
33554432	 512	     65536	    23.368 
67108864	 512	    131072	    27.877 
134217728	 512	    262144	    31.057 
 1048576	1024	      1024	     2.564 
 2097152	1024	      2048	     4.683 
 4194304	1024	      4096	     8.277 
 8388608	1024	      8192	    12.406 
16777216	1024	     16384	    17.730 
33554432	1024	     32768	    23.171 
67108864	1024	     65536	    27.753 
134217728	1024	    131072	    30.678 





Redu 32
echo -e "NUM_ELEMENTS\tLOCAL_SIZE\tNUM_WORK_GROUPS\t\tPerformance\n"

1048576	      32	     32768	     3.742 
2097152	      32	     65536	     1.939 
4194304	      32	    131072	     9.294 
6291456	      32	    196608	     3.832 
8388608	      32	    262144	    11.959 
10485760	  32	    327680	    12.622 
16777216	  32	    524288	    14.447 
25165824	  32	    786432	    15.855 
33554432	  32	   1048576	    16.516 
67108864	  32	   2097152	    17.715 
134217728	  32	   4194304	    18.429 


1048576	      64	     16384	     1.063 
2097152	      64	     32768	     7.257 
4194304	      64	     65536	    12.111 
6291456	      64	     98304	    14.841 
8388608	      64	    131072	    17.532 
10485760	  64	    163840	    19.053 
16777216	  64	    262144	    23.102 
25165824	  64	    393216	    26.665 
33554432	  64	    524288	    28.881 
67108864	  64	   1048576	    33.145 
134217728	  64	   2097152	    38.917 



1048576	     128	      8192	     4.402 
2097152	     128	     16384	     8.234 
4194304	     128	     32768	    14.287 
6291456	     128	     49152	    18.752 
8388608	     128	     65536	    22.185 
10485760	 128	     81920	    24.922 
16777216	 128	    131072	    32.475 
25165824	 128	    196608	    40.227 
33554432	 128	    262144	    45.449 
67108864	 128	    524288	    57.111 
134217728	 128	   1048576	    65.170 
