Number of Threads, Number of Numnodes, the total volume, Megatrials per Second
1,4,3.5334008,    4.37
1,32,6.3859210,    3.74
1,128,6.4697914,    3.61
1,500,6.4815373,    3.56
1,800,6.4845700,    3.55
1,1000,6.4885488,    3.57
1,1500,6.5042162,    3.56
1,2000,6.5402517,    3.57
1,2500,6.6064792,    3.55
1,3000,6.6486855,    3.57
1,4000,6.8581643,    3.58
1,5000,5.3708572,    3.65

2,4,3.5334003,    4.75
2,32,6.3859096,    7.39
2,128,6.4697566,    7.29
2,500,6.4807563,    7.15
2,800,6.4823570,    7.09
2,1000,6.4837108,    7.11
2,1500,6.4886594,    7.14
2,2000,6.5026803,    7.15
2,2500,6.5080209,    7.18
2,3000,6.5487642,    7.13
2,4000,6.6341267,    7.13
2,5000,6.8130569,    7.17

4,4,3.5334003,    6.44
4,32,6.3859100,   14.13
4,128,6.4697676,   14.18
4,500,6.4805365,   14.04
4,800,6.4815640,   13.96
4,1000,6.4825368,   14.00
4,1500,6.4850025,   14.02
4,2000,6.4913969,   14.00
4,2500,6.4958472,   13.99
4,3000,6.5083532,   13.93
4,4000,6.5108371,   14.03
4,5000,6.5685358,   14.07

8,4,3.5334034,    4.35
8,32,6.3859091,   22.63
8,128,6.4697742,   28.29
8,500,6.4805102,   24.37
8,800,6.4814210,   23.15
8,1000,6.4819441,   27.96
8,1500,6.4827108,   25.87
8,2000,6.4843845,   27.98
8,2500,6.4915013,   27.94
8,3000,6.4916077,   27.98
8,4000,6.4935136,   27.25
8,5000,6.5341578,   27.73

16,4,3.5334034,    3.33
16,32,6.3859015,   37.29
16,128,6.4697661,   41.58
16,500,6.4804792,   37.83
16,800,6.4813128,   39.33
16,1000,6.4816003,   22.86
16,1500,6.4820313,   23.12
16,2000,6.4832878,   22.02
16,2500,6.4832177,   23.64
16,3000,6.4843893,   22.79
16,4000,6.4887719,   22.97
16,5000,6.4998498,   28.60

32,4,3.5334034,    0.13
32,32,6.3859110,   10.16
32,128,6.4697666,   14.63
32,500,6.4804821,   36.18
32,800,6.4811902,   40.10
32,1000,6.4814949,   30.92
32,1500,6.4818168,   27.95
32,2000,6.4821954,   28.87
32,2500,6.4821429,   40.44
32,3000,6.4828238,   43.43
32,4000,6.4853129,   43.66
32,5000,6.4883418,   46.53

64,4,3.5334034,    0.10
64,32,6.3859148,    7.65
64,128,6.4697790,   15.96
64,500,6.4804940,   30.40
64,800,6.4811897,   30.61
64,1000,6.4814668,   30.94
64,1500,6.4817309,   28.20
64,2000,6.4819121,   30.77
64,2500,6.4820919,   41.59
64,3000,6.4822383,   49.14
64,4000,6.4827695,   49.44
64,5000,6.4840736,   51.54

128,4,3.5334034,    0.10
128,32,6.3859172,    3.67
128,128,6.4697661,   14.83
128,500,6.4804959,   24.64
128,800,6.4812183,   45.37
128,1000,6.4814472,   39.12
128,1500,6.4817128,   32.21
128,2000,6.4818287,   35.42
128,2500,6.4819560,   39.67
128,3000,6.4820170,   47.15
128,4000,6.4822659,   52.77
128,5000,6.4827304,   52.93

